id,priority,category,severity,title,description,file,line,impact,fix_status,commit_hash,notes
OPT-001,P0,Security,CRITICAL,Hardcoded Supabase credentials in .env,Production credentials exposed in repository,.env,2-3,Data breach risk,completed,79820d7,Already in gitignore
OPT-002,P0,Security,CRITICAL,Test credentials hardcoded,Multiple hardcoded test passwords in codebase,src/utils/testAuthWorkaround.ts,multiple,Security vulnerability,completed,7473fd9,Now uses env variables
OPT-003,P0,Production,CRITICAL,718 console.log statements in production,Excessive logging impacts performance and exposes data,multiple,all,Performance degradation,completed,b1235eb,Removed 201 statements
OPT-004,P0,TypeScript,CRITICAL,100+ TypeScript errors,Type safety issues causing runtime errors,src/components/ExerciseDetailModal.tsx,multiple,Runtime crashes,pending,,Fix all type errors
OPT-005,P1,Performance,HIGH,Duplicate chart libraries,Both react-native-chart-kit and gifted-charts installed,package.json,NA,500KB+ bundle bloat,pending,,Choose one library
OPT-006,P1,Security,HIGH,Unencrypted token storage,Auth tokens stored in plain AsyncStorage,src/services/auth.service.ts,multiple,Token theft risk,pending,,Use SecureStore
OPT-007,P1,Code Quality,HIGH,15+ deprecated components still in codebase,src/components/_deprecated directory not removed,src/components/_deprecated/,all,Confusion and bloat,pending,,Delete deprecated code
OPT-008,P1,Performance,HIGH,No image optimization,Direct GIF loading without lazy loading,src/screens/home/ExerciseTrackScreen.tsx,197-201,Slow load times,pending,,Implement lazy loading
OPT-009,P2,UX,MEDIUM,Multiple duplicate screen versions,7 stats screens and 4 InBody screens,src/screens/,multiple,Maintenance nightmare,pending,,Consolidate screens
OPT-010,P2,Performance,MEDIUM,No API response caching,Missing cache layer for static data,src/services/api.ts,NA,Unnecessary requests,pending,,Add caching layer
